Time_Index,Combined_Cycle_Natural_Gas_A,Combined_Cycle_Natural_Gas_B,Combined_Cycle_Natural_Gas_C,Combined_Cycle_Natural_Gas_D,Combined_Cycle_Natural_Gas_E,Combined_Cycle_Natural_Gas_F,Combined_Cycle_Natural_Gas_G,Combined_Cycle_Natural_Gas_J,Combined_Cycle_Natural_Gas_K,Combustion_Turbine_Fuel_Oil_2_K,Combustion_Turbine_Natural_Gas_A,Combustion_Turbine_Natural_Gas_J,Combustion_Turbine_Natural_Gas_K,Jet_Engine_Fuel_Oil_2_K,Jet_Engine_Kerosene_J,Jet_Engine_Kerosene_K,Jet_Engine_Natural_Gas_G,Jet_Engine_Natural_Gas_K,Steam_Turbine_Coal_A,Steam_Turbine_Coal_C,Steam_Turbine_Fuel_Oil_2_J,Steam_Turbine_Fuel_Oil_6_C,Steam_Turbine_Fuel_Oil_6_G,Steam_Turbine_Fuel_Oil_6_J,Steam_Turbine_Fuel_Oil_6_K,Steam_Turbine_Natural_Gas_C,Steam_Turbine_Natural_Gas_G,Steam_Turbine_Natural_Gas_J,Steam_Turbine_Natural_Gas_K
54,0.07815154604145429,0.0,0.12340495445334893,0.0,0.0,0.06928806513078123,0.6012987012987013,0.5062553661228996,0.42636479052052473,0.0,0.0,0.0,0.04912280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005473453749315818,0.0,0.0,0.0,0.06630292147247738,0.12733887733887733
55,0.07815154604145429,0.0,0.12997681593311305,0.0,0.0,0.10705006062705699,0.7649350649350649,0.5746351036428309,0.47820567075751164,0.0,0.0,0.0,0.05052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.14553014553014554
56,0.07815154604145429,0.0,0.1714160535971814,0.0,0.0,0.13372596570240777,0.7701298701298701,0.6224702563473569,0.4983072365636902,0.0,0.48625792811839325,0.0,0.051929824561403506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.1658004158004158
57,0.07928417714350436,0.0,0.19259205169864366,0.0,0.0,0.14966222068248744,0.7714285714285715,0.6534404513675948,0.5004231908590774,0.0,0.8033826638477801,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.1652806652806653
58,0.07815154604145429,0.0,0.2039102575804597,0.0,0.0,0.1593625498007968,0.7714285714285715,0.6678523242978045,0.5025391451544646,0.0,0.8033826638477801,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699357690448235,0.1548856548856549
59,0.07928417714350436,0.0,0.20244984391828988,0.0,0.0,0.1593625498007968,0.7714285714285715,0.6059119342573286,0.5004231908590774,0.0,0.8033826638477801,0.0,0.05473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699357690448235,0.1548856548856549
60,0.07928417714350436,0.0,0.19898136147063658,0.0,0.0,0.15070154165944916,0.7714285714285715,0.5862872562247026,0.5004231908590774,0.0,0.8033826638477801,0.0,0.05473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699357690448235,0.14553014553014554
61,0.07815154604145429,0.0,0.19496522389966958,0.0,0.0,0.1302615624458687,0.7714285714285715,0.5875137986017417,0.5004231908590774,0.0,0.8033826638477801,0.0,0.05473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699357690448235,0.1496881496881497
62,0.07815154604145429,0.0,0.18054363898574272,0.0,0.0,0.1302615624458687,0.7701298701298701,0.5847540782534036,0.4993652137113838,0.0,0.8033826638477801,0.0,0.05473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699357690448235,0.15072765072765074
63,0.07928417714350436,0.0,0.1763449497070045,0.0,0.0,0.13130088342283042,0.7675324675324675,0.5869005274132222,0.501481168006771,0.0,0.8033826638477801,0.0,0.05473684210526316,0.0,0.0,0.0,0.0,0.5785123966942148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699357690448235,0.16683991683991684
