NYISO Name,PTID,Zone,Facility Name,Facility ID,Unit ID,Unit Type,Fuel Type, Operating Time, Gross Load (MWh), Heat Input (MMBtu), Facility Latitude, Facility Longitude, Max Hourly HI Rate (MMBtu/hr),Name Plate Rating (MW),2018 Net Energy (GWh),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Combined
Oswego 5,23606,C,Oswego Harbor Power,2594,5,Steam Turbine,Fuel Oil 6,95.31,15393.62,176872.428,43.46,-76.53,9422,901.8,24.4,850.3,850.3,801.7,827,0
Oswego 6,23613,C,Oswego Harbor Power,2594,6,Steam Turbine,Fuel Oil 6,240.07,23599.6,288343.476,43.46,-76.53,9491,901.8,24.9,835.2,835.2,815,827.5,0
Greenidge 4,23583,C,Greenidge Generation LLC,2527,6,Steam Turbine,Natural Gas,1123.86,60302.59,664721.499,42.6789,-76.9483,3900,112.5,202.4,106.3,106.3,104,104,0
Fort Drum,23780,E,"Black River Generation, LLC",10464,E0001,Steam Turbine,Wood,8065.24,0,1701032.868,44.0361,-75.7712,288,55.5,203.4,55.6,55.6,0,0,1
Fort Drum,23781,E,"Black River Generation, LLC",10464,E0002,Steam Turbine,Wood,7830.96,0,1693866.887,44.0361,-75.7712,288,55.5,203.4,55.6,55.6,0,0,1
Fort Drum,23782,E,"Black River Generation, LLC",10464,E0003,Steam Turbine,Wood,8177.84,0,1727523.564,44.0361,-75.7712,288,55.5,203.4,55.6,55.6,0,0,1
Roseton 1,23587,G,Roseton Generating LLC,8006,1,Steam Turbine,Fuel Oil 6,315.3,63288.38,681251.703,41.5711,-73.9739,4171,621,264.8,614.8,614.8,584.2,608,0
Roseton 2,23588,G,Roseton Generating LLC,8006,2,Steam Turbine,Fuel Oil 6,526.44,91551.48,1002123.148,41.5711,-73.9739,3900,621,251.7,605.7,605.7,600,603.5,0
Bowline 2,23595,G,Bowline Generating Station,2625,2,Steam Turbine,Natural Gas,598.28,154316.12,1725556.406,41.2044,-73.9689,3717,621,229.3,567.4,567.4,547.5,567.9,0
Bowline 1,23526,G,Bowline Generating Station,2625,1,Steam Turbine,Natural Gas,574.81,147049.82,1548383.54,41.2044,-73.9689,955.7,621,238.4,577.7,577.7,556.8,549.5,0
Danskammer 1,23586,G,Danskammer Generating Station,2480,1,Steam Turbine,Natural Gas,48.84,1320.96,20107.065,41.573,-73.9646,3260,72,2.7,69,69,69.6,69,0
Danskammer 2,23589,G,Danskammer Generating Station,2480,2,Steam Turbine,Natural Gas,44.92,1316.2,17982.235,41.573,-73.9646,2419,73.5,2.7,64.7,64.7,65.1,67,0
Danskammer 3,23590,G,Danskammer Generating Station,2480,3,Steam Turbine,Natural Gas,48.36,2958.42,32221.203,41.573,-73.9646,2075,147.1,14.2,139.2,139.2,136.7,140.6,0
Danskammer 4,23591,G,Danskammer Generating Station,2480,4,Steam Turbine,Natural Gas,49.23,3956.8,38219.042,41.573,-73.9646,2100,239.4,10.9,238.2,238.2,224,228.7,0
Astoria 3,23516,J,Astoria Generating Station,8906,31RH,Steam Turbine,Fuel Oil 2,4251.43,436522.97,2559387.021,40.7869,-73.9122,1930,376,307.3,369.9,369.9,370.2,373.2,1
Astoria 3,23516,J,Astoria Generating Station,8906,32SH,Steam Turbine,Fuel Oil 2,4252.37,436527.55,2437511.01,40.7869,-73.9122,1982,376,307.3,369.9,369.9,370.2,373.2,1
Astoria 5,23518,J,Astoria Generating Station,8906,51RH,Steam Turbine,Fuel Oil 2,2524.41,280497.84,1585521.723,40.7869,-73.9122,7000,387,757.8,376.3,376.3,376.9,384.2,1
Astoria 5,23518,J,Astoria Generating Station,8906,52SH,Steam Turbine,Fuel Oil 2,2524.36,280497.79,1553918.908,40.7869,-73.9122,1654,387,757.8,376.3,376.3,376.9,384.2,1
Ravenswood ST 01,23533,J,Ravenswood Generating Station,2500,10,Steam Turbine,Fuel Oil 6,2172.4,265418.62,2886167.862,40.7585,-73.9451,2000,400,598.7,365.1,365.1,368,370.2,0
