BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t46,11365.994504854121,0.0,-0.0,0.0,0.0,0.0,0.0,-1373.497252427061,-13.497252427060918,-9979.0,2850.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2850.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1373.497252427061,-13.497252427060918,-1360.0
t47,10365.632485679385,0.0,-0.0,0.0,0.0,0.0,0.0,-1253.3162428396931,-12.316242839693086,-9100.0,2599.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2599.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1253.3162428396931,-12.316242839693086,-1241.0
t48,9286.060644078983,0.0,-0.0,0.0,0.0,0.0,0.0,-969.7587845213155,-12.301859557666132,-8304.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-173.47569323414962,-1.067381802200724,-2372.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1143.2344777554654,-11.23447775546541,-1132.0
t49,8535.47834129972,0.0,-0.0,0.0,0.0,0.0,0.0,-746.9676331316848,-12.510708168034947,-7776.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-323.5522842011715,-1.9907908351786459,-2221.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1070.5199173328563,-10.519917332856302,-1060.0
t50,8160.693305201698,0.0,-0.0,0.0,0.0,0.0,0.0,-635.0751150826736,-12.618190119023918,-7513.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-399.08752203887803,-2.4555529974721706,-2145.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1034.1626371215518,-10.162637121551748,-1024.0
t51,7980.796174886878,0.0,-0.0,0.0,0.0,0.0,0.0,-582.1265499252638,-12.669624961614169,-7386.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-434.8673715409496,-2.675703495400682,-2109.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1016.9939214662134,-9.993921466213486,-1006.9999999999999
t52,8002.774719772044,0.0,-0.0,0.0,0.0,0.0,0.0,-589.1158223678461,-12.658897404196574,-7401.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-429.89794799899533,-2.6451270373550564,-2114.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1019.0137703668414,-10.013770366841516,-1008.9999999999999
t53,8379.571986453282,0.0,-0.0,0.0,0.0,0.0,0.0,-700.0144557084665,-12.557530744816727,-7667.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-355.3565948696795,-2.1864801666706564,-2189.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1055.371050578146,-10.37105057814607,-1045.0
t54,9498.943937596376,0.0,-0.0,0.0,0.0,0.0,0.0,-1031.700431280013,-12.243506316363174,-8455.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-131.73253548173264,-0.8105395546174592,-2414.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1163.4329667617455,-11.432966761745716,-1152.0
t55,11217.657073543445,0.0,-0.0,0.0,0.0,0.0,0.0,-1356.3285367717226,-13.328536771722655,-9848.0,2812.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2812.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1356.3285367717226,-13.328536771722655,-1343.0
