BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t138,19434.8,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19539.8
t139,19606.9,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19711.9
t140,19414.069681338846,28.730318661155252,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19442.8
t141,19055.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19055.7
t142,18345.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18345.8
t143,17393.899999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17393.899999999998
t144,16406.4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16406.4
t145,15724.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15724.3
t146,15326.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15326.099999999999
t147,15191.532568697236,0.0,-36.832568697232496,0.0,0.0,0.0,0.0,0.0,0.0,-15154.7
t148,15262.7,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-15157.7
t149,15603.099999999999,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-15498.1
t150,16650.8,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-16545.8
t151,18481.8,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-18376.8
t152,19546.7,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19651.7
t153,19862.5,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19967.5
t154,20014.5,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20119.5
t155,20116.965936348188,71.03406365181155,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20188.0
t156,20106.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20106.2
t157,19961.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19961.7
t158,19985.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19985.7
t159,20061.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20061.0
t160,20405.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20405.9
t161,21196.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21196.2
t162,21993.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21993.2
t163,21814.4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21814.4
t164,21379.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21379.5
t165,20622.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20622.0
t166,19642.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19642.2
t167,18290.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18290.8
t168,16982.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16982.0
t169,16010.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16010.7
t170,15446.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15446.800000000001
t171,15131.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15131.099999999999
t172,14998.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14998.7
t173,15209.9444191556,0.0,-36.24441915559778,0.0,0.0,0.0,0.0,0.0,0.0,-15173.7
t174,16100.2,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-15995.2
t175,17668.8,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-17563.8
t176,18956.8,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-18851.8
t177,19407.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19302.0
t178,19414.069681338846,41.030318661154524,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19455.1
t179,19419.0,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19524.0
t180,19414.069681338846,78.93031866115598,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19493.0
t181,19414.069681338846,7.830318661153797,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19421.899999999998
t182,19414.069681338846,0.0,-66.46968133884548,0.0,0.0,0.0,0.0,0.0,0.0,-19347.6
t183,19359.3,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19254.3
