Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
,,,,,,,,696,35779.09765625
,,,,,,,,697,36027.19921875
,,,,,,,,698,36669.70703125
,,,,,,,,699,37758.93359375
,,,,,,,,700,40017.91796875
,,,,,,,,701,44221.90625
,,,,,,,,702,48535.54296875
,,,,,,,,703,48095.828125
,,,,,,,,704,45849.80078125
,,,,,,,,705,43636.89453125
,,,,,,,,706,41635.74609375
,,,,,,,,707,39601.16796875
,,,,,,,,708,38051.85546875
,,,,,,,,709,37054.6796875
,,,,,,,,710,36202.0859375
,,,,,,,,711,35909.9140625
,,,,,,,,712,36253.14453125
,,,,,,,,713,38002.07421875
,,,,,,,,714,40427.83203125
,,,,,,,,715,40786.54296875
,,,,,,,,716,40312.68359375
,,,,,,,,717,39074.62109375
,,,,,,,,718,36873.78515625
,,,,,,,,719,35160.3046875
,,,,,,,,720,34408.81640625
,,,,,,,,721,34201.21875
,,,,,,,,722,34337.41796875
,,,,,,,,723,35063.82421875
,,,,,,,,724,36891.515625
,,,,,,,,725,40610.16796875
,,,,,,,,726,44373.35546875
,,,,,,,,727,43610.73046875
,,,,,,,,728,41634.59765625
,,,,,,,,729,39668.31640625
,,,,,,,,730,38034.86328125
,,,,,,,,731,36711.36328125
,,,,,,,,732,35796.34765625
,,,,,,,,733,35412.953125
,,,,,,,,734,34943.8359375
,,,,,,,,735,34915.2109375
,,,,,,,,736,35068.66796875
,,,,,,,,737,36124.55078125
,,,,,,,,738,37746.61328125
,,,,,,,,739,37587.109375
,,,,,,,,740,36803.1875
,,,,,,,,741,35061.640625
,,,,,,,,742,32709.101562500004
,,,,,,,,743,30775.353515625
,,,,,,,,744,29605.232421875
,,,,,,,,745,29218.087890625
,,,,,,,,746,29142.0078125
,,,,,,,,747,29560.978515625
,,,,,,,,748,31001.083984375
,,,,,,,,749,34355.5625
,,,,,,,,750,38001.74609375
,,,,,,,,751,37737.05859375
,,,,,,,,752,37066.66015625
,,,,,,,,753,36823.17578125
,,,,,,,,754,36636.72265625
,,,,,,,,755,36244.828125
,,,,,,,,756,36051.00390625
,,,,,,,,757,36023.50390625
,,,,,,,,758,35810.47265625
,,,,,,,,759,35716.71484375
,,,,,,,,760,35798.0703125
,,,,,,,,761,37076.73046875
,,,,,,,,762,38877.41015625
,,,,,,,,763,38886.62890625
,,,,,,,,764,38289.76953125
,,,,,,,,765,36651.85546875
,,,,,,,,766,34472.05859375
,,,,,,,,767,32785.6484375
,,,,,,,,768,31893.431640625
,,,,,,,,769,31753.294921875
,,,,,,,,770,32051.849609375
,,,,,,,,771,32879.671875
,,,,,,,,772,34817.74609375
,,,,,,,,773,38493.78515625
,,,,,,,,774,42711.65234375
,,,,,,,,775,43033.87890625
,,,,,,,,776,42634.20703125
,,,,,,,,777,41849.1328125
,,,,,,,,778,40591.67578125
,,,,,,,,779,39066.59375
,,,,,,,,780,37789.390625
,,,,,,,,781,36804.80078125
,,,,,,,,782,36067.80078125
,,,,,,,,783,35806.85546875
,,,,,,,,784,36322.29296875
,,,,,,,,785,38136.30078125
,,,,,,,,786,39997.578125
,,,,,,,,787,40102.57421875
,,,,,,,,788,39922.91015625
,,,,,,,,789,39022.91015625
,,,,,,,,790,37415.42578125
,,,,,,,,791,35859.765625
,,,,,,,,792,34736.49609375
,,,,,,,,793,34121.37890625
,,,,,,,,794,33956.47265625
,,,,,,,,795,34173.8984375
,,,,,,,,796,34845.04296875
,,,,,,,,797,36238.60546875
,,,,,,,,798,38016.29296875
,,,,,,,,799,39501.16796875
,,,,,,,,800,40451.30078125
,,,,,,,,801,40614.44921875
,,,,,,,,802,40084.78515625
,,,,,,,,803,39136.55859375
,,,,,,,,804,37974.0
